name,orgnr,omsattning_tkrk,anstallda,ort,branscher,allabolag_url
"Stegbo Möbler Örnsköldsvik AB",556988-5501,15695,5,"891 55 Arnäsvall","Postorder/e-handel;Möbler;Reklambyråer;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/stegbo-m%C3%B6bler-%C3%B6rnsk%C3%B6ldsvik-ab/arn%C3%A4svall/-/5569885501
"Standard System Altikon AB",559008-1294,18854,4,"246 43 Löddeköpinge","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/standard-system-altikon-ab/l%C3%B6ddek%C3%B6pinge/-/5590081294
"Stadens Golv Aktiebolag",556472-2386,12987,7,"113 64 Stockholm","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/stadens-golv-aktiebolag/stockholm/-/5564722386
"Spångsjö Färg Aktiebolag",556150-6188,13800,6,"521 39 Falköping","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sp%C3%A5ngsj%C3%B6-f%C3%A4rg-aktiebolag/falk%C3%B6ping/-/5561506188
"Spis & Kaminboden i Laholm AB",556963-7530,10892,2,"312 95 Laholm","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/spis-kaminboden-i-laholm-ab/laholm/-/5569637530
"SpektraNeon AB",556702-5621,15930,10,"131 41 Nacka","Belysningsarmatur - Komponenter;Byggmästare;Elinstallationer;Järnvaror;Maskinförnödenheter;Grossister",https://www.allabolag.se/foretag/spektraneon-ab/nacka/-/5567025621
"Sparsmakat Inredningsstudio Sverige AB",559306-8066,10180,5,"541 40 Skövde","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sparsmakat-inredningsstudio-sverige-ab/sk%C3%B6vde/-/5593068066
"Space Room AB",556941-0979,15881,1,"421 32 Västra Frölunda","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/space-room-ab/v%C3%A4stra-fr%C3%B6lunda/-/5569410979
"Sonno AB",559190-1938,16100,5,"582 73 Linköping","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sonno-ab/link%C3%B6ping/-/5591901938
"Sonjas Veranda AB",559375-9508,13425,9,"432 78 Tvååker","Restauranger;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sonjas-veranda-ab/tv%C3%A5%C3%A5ker/-/5593759508
