orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556585-8072,"BTC, Brand Tekniskt Center AB","BTC, Brand Tekniskt Center AB",71121,,71121,KVISSLEBY,86233,SANDSLÅVÄGEN 3,"Bolaget skall bedriva besiktningar, konsulttjänster och infor- mation inom det brandtekniska och risktekniska området, köp och försäljning av fast och lös egendom, företrädesvis värdepapper samt i övrigt därmed förenlig verksamhet.",2000-02-18,active,,,,
556609-5690,Kabel & Mark i Syd AB,Kabel & Mark i Syd AB,49410,,"49410; 43120",SKURUP,27430,LILLA INDUSTRIGATAN 1,"Bolaget skall bedriva åkeri- och transportverksamhet, entreprenadverksamhet inom anläggnings- och byggnadssektorn samt därmed förenlig verksamhet.",2001-04-20,active,,,,
556611-8377,Våcon AB,Våcon AB,71121,,71121,KALMAR,39239,VERKSTADSGATAN 1 B,Bolaget skall bedriva konsulterande verksamhet inom byggnads och anläggningssektorn jämte därmed förenlig verksamhet.,2001-06-08,active,,,,
556548-9076,Nilivaara Traktor och Gräv AB,Nilivaara Traktor och Gräv AB,43120,,43120,GÄLLIVARE,98291,NILIVAARA 134,"Bolaget skall bedriva entreprenadrörelse inom gräv och schaktbranschen, produktion av torv, grus och matjord samt träförädling även som idka därmed förenlig verksamhet.",1997-12-02,active,,,,
556582-3993,Nordisk VVS-Teknik AB,Nordisk VVS-Teknik AB,42210,,42210,NACKA,13154,FANNYS VÄG 3,Bolaget skall bedriva rörenterprenader och rörservice därmed förenlig verksamhet samt förvaltning av kapital.,2000-01-12,active,,,,
556550-6630,Kompetensutveckling i Skåne Aktiebolag,Kompetensutveckling i Skåne Aktiebolag,70200,,70200,HÖLLVIKEN,23637,ANDERS OLSVÄGEN 28 C,"Bolaget skall bedriva konsultverksamhet inom affärsutveckling, ekonomi, personal, kundattitydmätningar, utbildning inom sälj- och ledarutveckling, handel med värdepapper och fast egendom, äga och förvalta fastigheter samt idka därmed förenlig verksamhet.",1997-12-18,active,,,,
556595-1539,Freeunity AB,Freeunity AB,70200,,70200,STOCKHOLM,11138,BRUNNSGATAN 6,Bolaget ska bedriva rådgivande management med därtill administrativa och företagsstrukturella tjänster samt investering och förvaltning av aktier och andra investeringsobjekt samt managementverksamhet ävensom idka förenlig verksamhet.,2000-07-18,active,,,,
556389-6975,Ekonomikonsult E. Hörnfeldt Aktiebolag,Ekonomikonsult E. Hörnfeldt Aktiebolag,69201,,69201,SALTSJÖ-DUVNÄS,13150,REGINAVÄGEN 17,"Bolaget skall bedriva konsultverksamhet inom ekonomi, redovisning och administration samt därmed förenlig verksamhet.",1990-03-23,active,,,,
556579-8682,Hällesta Buss Aktiebolag,Hällesta Buss Aktiebolag,49320,,"49320; 49330",HÄLLESTAD,61275,SÖRSKATEVÄGEN 39,"Bolaget skall bedriva persontransport och handel med fordon, värdepapper samt därmed förenlig verksamhet.",1999-12-09,active,,,,
556403-0699,OG Ohlsson Byggservice AB,OG Ohlsson Byggservice AB,41000,,41000,NYBRO,38237,GRANITVÄGEN 2,"Bolaget skall bedriva byggnadsverksamhet, förvaltning av aktier samt därmed förenlig verksamhet.",1990-07-31,active,,,,
