orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556421-1380,Aktiebolaget Börjes Tankcenter,Aktiebolaget Börjes Tankcenter,46810,,"46810; 68203",ÅSEDA,36421,BOX 69,Bolaget skall utföra oljetransporter och bedriva handel med olje- produkter ävensom idka därmed förenlig verksamhet.,1991-02-22,active,,,,
556446-7917,Italian Brands AB,Italian Brands AB,46431,,46431,BROMMA,16867,RANHAMMARSVÄGEN 20,"Bolaget skall bedriva import & försäljning av hushållsmaskiner, import och försäljning av bubbelpooler samt idka därmed förenlig verksamhet.",1992-04-14,active,,,,
556440-2948,Gotland Exclusive AB,Gotland Exclusive AB,46170,,46170,VISBY,62141,SNÄCKGÄRDSVÄGEN 55  LGH 1014,"Bolaget skall bedriva fastighetsförvaltning, golftränings- anläggning, handel med värdepapper, försäljning av dagligvaror och därmed förenlig verksamhet.",1991-12-30,active,,,,
556433-5486,Hemslöjden i Umeå Aktiebolag,Hemslöjden i Umeå Aktiebolag,47789,,"47789; 47510; 47552",UMEÅ,90327,SKOLGATAN 49  BV,Bolaget skall bedriva försäljning av hemslöjd och presentartiklar samt idka därmed förenlig verksamhet.,1991-09-23,active,,,,
556412-4872,William Ericssons Radio & TV Aktiebolag,William Ericssons Radio & TV Aktiebolag,47403,,47403,BRÖSARP,27350,ALBOVÄGEN 3,Bolaget skall bedriva handel med och utföra reparationer av artiklar inom radio- och TV-branschen samt äga och förvalta fast egendom ävensom idka därmed förenlig verksamhet.,1990-11-27,active,,,,
556424-7046,GPA Flowsystem AB,GPA Flowsystem AB,46842,,46842,HJÄRNARP,26675,BROVÄGEN 5,"Bolaget skall bedriva import och försäljning av ventiler, rör- och kopplingsdetaljer, maskinkomponenter inom industrin samt förvaltning av aktier ävensom idka därmed förenlig verksamet.",1991-05-23,active,,,,
556434-4900,HASSOR SWEDEN Aktiebolag,HASSOR SWEDEN Aktiebolag,46440,,"46440; 42110; 52260; 47811; 46820",GUNNILSE,42456,Gunnilsevägen 45,"Bolaget skall driva export importaffärer, köpa och sälja varor såsom virke, tyger, metall, sjukvårdsartiklar, maskiner, husgeråd, stugor och därmed förenlig verksamhet, konsult och reklamarbete, hjälp åt företag att få kontakter och göra affärer och därmed förenlig verksamhet, investeringar, fastighetsköp och därmed förenlig verksamhet.",1991-11-01,active,,,,
556436-7430,Intercut Sverige AB,Intercut Sverige AB,46649,,46649,SOLLENTUNA,19208,BOX 8026,"Bolaget skall bedriva köp och försäljning med tillhörande service och konsulttjänster av maskiner och tillbehör för bultsvetsning, plåtbearbetning, stålbalk och stångmaterial gentemot smidesverkstäder, stålverk och plåtverkstäder. Bolaget skall även äga och förvalta värdepapper.",1991-11-08,active,,,,
556299-0944,OJCO AB,OJCO AB,46502,,46502,HELSINGBORG,25466,KASTELLGATAN 2,"Bolaget skall bedriva handel, service och installation med data och datakomponenter, svagströmsprodukter samt biometriska säkerhetsprodukter. Vidare skall bolaget bedriva konsult och mäklarverksamhet inom fastighetssektorn.",1987-05-22,active,,,,
556444-9519,Partco Aktiebolag,Partco Aktiebolag,46720,,46720,MJÖBÄCK,51265,LINDSBOVÄGEN 2,"Bolaget skall importera och försälja bildelar och verktyg ävensom att äga och förvalta fast och lös egendom, samt att idka därmed sammanhängande verksamhet.",1992-03-13,active,,,,
556446-6455,ÅRGUS MEDICINTEKNIK Aktiebolag,ÅRGUS MEDICINTEKNIK Aktiebolag,46460,,46460,KALMAR,39239,SMEDJEGATAN 9,"Bolaget ska bedriva försäljning av medicinsk och medicinteknisk utrustning såsom kirurgiska instrument, laserutrustningar för inplantat, apoteksvaror och läkemedel samt idka annan därmed förenlig verksamhet.",1992-04-14,active,,,,
