orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556239-1135,Trelleborgs Bygg-Plåt Aktiebolag,Trelleborgs Bygg-Plåt Aktiebolag,43411,,43411,TRELLEBORG,23166,MASKINGATAN 41,"Bolaget skall bedriva byggnadsplåtslageri, ävensom idka därmed förenlig verksamhet.",1984-01-31,active,,,,
556239-2737,Norling Mark AB,Norling Mark AB,42990,,42990,TYRESÖ,13560,OLLONSTIGEN 1,"Föremålet för bolagets verksamhet är grund-, schakt- och anläggningsverksamhet och därmed förenlig verksamhet.",1984-01-24,active,,,,
556215-7924,Topax AB,Topax AB,70100,,70100; 68201,KALMAR,39232,STATIONSHUSET,"Bolaget skall äga och förvalta samt köpa och sälja fast egendom, aktier och andelar i andra bolag och idka därmed förenliga verksamheter.",1982-03-05,active,,,,
556237-0758,Affärskultur Westerberg & Co Aktiebolag,Affärskultur Westerberg & Co Aktiebolag,70200,,70200,LUND,22364,PROFESSORSGATAN 5 B,"Bolaget skall bedriva konsultverksamhet och utbildning inom området företagsledning och management, skapa och marknadsföra verktyg för marknadskommunikation samt att framställa och försälja designade kläder ävensom idka därmed förenlig verksamhet.",1983-12-07,active,,,,
556236-1666,Kadar Byggkonsult AB,Kadar Byggkonsult AB,71121,,71121,INGARÖ,13466,LÅNGVIKSVÄGEN 4,"Bolaget skall bedriva konsulterande verksamhet inom byggnadsbranschen ävensom idka därmed förenlig verksamhet, samt bedriva inköp och försäljning av fastigheter.",1983-11-22,active,,,,
556237-0196,Mellersta Skånes Redovisningsbyrå AB,Mellersta Skånes Redovisningsbyrå AB,69201,,69201,LIMHAMN,20061,BOX 30096,"Aktiebolaget ska bedriva försäljning av tjänster inom redovisning, bokslut och ekonomi samt därtill hörande verksamhet ävensom äga, förvärva och förvalta fast och lös egendom.",1983-12-21,active,,,,
556242-0587,Johan Matz Aktiebolag,Johan Matz Aktiebolag,69102,,69102; 01489; 90110,RÄTTVIK,79592,NEDRE GÄRDSJÖ LANDSVÄG 50,"Aktiebolaget ska bedriva juridisk verksamhet, litterärt och konstnärligt skapande, biodling och framställning av honung och bivax.",1984-04-12,active,,,,
556239-0400,Visnum Entreprenad Aktiebolag,Visnum Entreprenad Aktiebolag,43120,,43120,KRISTINEHAMN,68196,PL 2477,"Bolaget skall bedriva anläggningsarbeten för el- och telekommunikation samt för värme, vatten och avlopp. Bolaget skall också bedriva entreprenader inom jord- och skogsbruk, markentreprenader, kabelutsättning, fiskeguidning med båt, förvaltning av fast och lös egendom samt annan därmed förenlig verksamhet.",1984-01-26,active,,,,
556255-2777,Chrisyll Aktiebolag,Chrisyll Aktiebolag,43999,,43999,TÄBY,18743,JAKTVÄGEN 35,Bolaget ska utföra trädgårdsanläggningar och stensättningar och bedriva handel med stenmaterial ävensom idka därmed förenlig verksamhet.,1985-01-24,active,,,,
556242-9372,Provexa Technology AB,Provexa Technology AB,71122,,71122,GÖTEBORG,41502,GAMLESTADSVÄGEN 303,Bolagets verksamhet är att utveckla och kommersialisera teknologier för ytbehandling och driva därmed förenlig verksamhet.,1984-04-03,active,,,,
556242-9950,Bertil & Leif Drotts Åkeri Aktiebolag,Bertil & Leif Drotts Åkeri Aktiebolag,49410,,49410,LÖNNEBERGA,57794,BÄNARP 1,"Bolaget skall bedriva åkerirörelse, ävensom idka därmed förenlig verksamhet.",1984-05-21,active,,,,
556243-2046,Bokföringstjänst i Mönsterås Aktiebolag,Bokföringstjänst i Mönsterås Aktiebolag,69201,,69201,MÖNSTERÅS,38323,BOX 114,Bolaget skall bedriva redovisning och konsultverksamhet ävensom idka därmed förenlig verksamhet.,1984-04-11,active,,,,
556249-8112,Candelator Konsult AB,Candelator Konsult AB,70200,,70200,MÖLNDAL,43169,FÄSSBERGSGATAN 59 E,"Bolaget skall bedriva redovisning och administration, ekonomiska konsultationer samt annan därmed förenlig verksamhet.",1984-10-02,active,,,,
556244-0841,Byggutbildarna Rune Johansson AB,Byggutbildarna Rune Johansson AB,71121,,71121,ENKÖPING,74935,KUNGSGATAN 25,"Bolaget skall bedriva kvalificerad rådgivning, utbildning, information och förlagsverksamhet och därmed förenlig verksamhet främst riktad till byggbranschen.",1984-06-18,active,,,,
556008-5424,Indiska Magasinet Aktiebolag,Indiska Magasinet Aktiebolag,70100,,70100,STOCKHOLM,10254,BOX 27317,"Bolagets verksamhet skall vara att direkt eller indirekt, bedriva detaljandel samt import och export av konfektionsvaror, textiler, husgeråds- och presentartiklar, bijouterier, livsmedel, hälsovårds- hudvårds- och massageprodukter, tillhandahålla tjänster avseende kroppsmassage smat andra kroppsbehandlingar, särskilt sådana behandlingar byggande på indisk och orientalisk tradition, tillhandahålla kurser och handledning i meditation och orientalisk matlagning, servera mat och dryck, bedriva utbildning och sprida kunskap om indiska och orientaliska traditioner, äga och förvalta aktier, värdepapper och fast egendom samt bedriva annan därmed förenlig verksamhet.",1908-11-19,active,,,,
556241-6965,Teddington Industri Holding AB,Teddington Industri Holding AB,71200,,71200,SKOGÅS,14250,SPEDITIONSVÄGEN 17,"Bolaget ska äga och förvalta aktier, värdepapper samt fastigheter samt idka därmed förenlig verksamhet.",1984-05-07,active,,,,
556246-2431,Kanonaden Täkt och Förvaltning AB,Kanonaden Täkt och Förvaltning AB,43120,,43120,NÄSSJÖ,57138,BOCKÄNGSGATAN 2,Föremålet för bolagets verksamhet är att äga och förvalta fastigheter samt bedriva täktverksamhet och därmed förenlig verksamhet.,1984-08-27,active,,,,
556246-2647,Artkon Aktiebolag,Artkon Aktiebolag,70200,,70200,ÖREBRO,70221,BRICKEBERGSVÄGEN 21 A,"Bolaget har till föremål för sin verksamhet att idka producerande verksamhet, konsultverksamhet, managementverksamhet och handelsrörelse inom musik- och nöjesbranschen samt idka därmed förenlig verksamhet. Därjämte skall bolaget bedriva ekonomisk och administrativ konsultverksamhet. Bolaget skall även kunna tillhandahålla korttidsanställd personal samt därvidlag administrera och finansiera de ekonomiska flödena till slutkund för dessa samt därmed förenlig verksamhet.",1984-07-31,active,,,,
556252-0931,Håkan Lind Aktiebolag,Håkan Lind Aktiebolag,70200,,70200,MÖLLE,26377,BÖKEBOLSVÄGEN 1,"Bolaget skall bedriva konsultverksamhet inom ekonomi och företagsledning, köpa och sälja värdepapper ävensom idka därmed förenlig verksamhet.",1984-11-15,active,,,,
