orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556483-9149,Westberg Marin & Data Aktiebolag,Westberg Marin & Data Aktiebolag,47633,,"47633; 46501",TROLLHÄTTAN,46138,KARDANVÄGEN 63,Föremålet för bolagets verksamhet är försäljning av båttillbehör samt service och försäljning av datorutrustning jämte därmed förenlig verksamhet.,1994-03-21,active,,,,
556483-6830,Chapland International Aktiebolag,Chapland International Aktiebolag,47553,,47553,PÅARP,25351,IDROTTSGATAN 3,"Föremålet för bolagets verksamhet är import och försäljning av presentartiklar, textilier, hälso- och skönhetsprodukter, konfektyrer samt bygg och fastighetsskötsel och därmed förenlig verksamhet.",1994-03-25,active,,,,
556501-5863,Lamplagret i Marieberg Aktiebolag,Lamplagret i Marieberg Aktiebolag,47552,,47552,ÖREBRO,70236,BOLAGSVÄGEN 7,"Bolaget skall bedriva elinstallationer, försäljning av elmaterial, äga och förvalta värdepapper samt idka därmed förenlig verksamhet.",1995-01-19,active,,,,
556489-5687,Aktiebolaget L Olsson & Co,Aktiebolaget L Olsson & Co,46189,,"46189; 69201",FJÄRÅS,43974,TOMS BYVÄG 42,"Föremålet för bolagets verksamhet är försäljning av hushållsmaskiner, presentartiklar och maskinprodukter samt administrativa tjänster och därmed förenlig verksamhet.",1994-06-23,active,,,,
556497-2775,La Stampa Aktiebolag,La Stampa Aktiebolag,47721,,47721,NORRKÖPING,60224,DROTTNINGGATAN 40 C,"Bolaget ska bedriva handel med skor, väskor, bijouterier, försälja essenser, tillsatser och aromer samt därmed förenlig verksamhet.",1994-11-17,active,,,,
556528-0608,Hytorc Power Systems AB,Hytorc Power Systems AB,46141,,"46141; 33120",FALKENBERG,31150,LILLEGÅRDSVÄGEN 2,"Bolaget skall bedriva handel med elektriska, pneumatiska och hydrauliska verktyg samt därtill relaterad verksamhet. Bolaget skall även bedriva handel med aktier, andra värdepapper, förvaltning av fastigheter samt hästverksamhet avseende uppfödning och tävling och därmed förenlig verksamhet.",1996-01-18,active,,,,
556503-6141,Eurocash Food AB,Eurocash Food AB,47112,,47112,Strömstad,45233,PRÄSTÄNGSVÄGEN 37,"Föremålet för bolagets verksamhet är att bedriva detaljhandel med livsmedel och dagligvaror samt varuhussortiment, däribland leksaker, hemelektronik, klockor, smycken, bijouterier ävensom bedriva annan därmed förenlig verksamhet.",1995-01-31,active,,,,
556505-1751,Industriprodukter i Vingåker Aktiebolag,Industriprodukter i Vingåker Aktiebolag,46649,,46649,VINGÅKER,64330,ÖSTRA TORGGATAN 2,"Bolaget skall bedriva försäljning av arbetskläder, skor, handskar, skyddsprodukter, verktyg samt annan därmed förenlig verksamhet.",1995-02-20,active,,,,
556504-3097,Johan Bringners Blommor Aktiebolag,Johan Bringners Blommor Aktiebolag,46220,,"46220; 01191",EKSJÖ,57539,FRISTADSVÄGEN 22,"Aktiebolaget ska bedriva handelsträdgård med odling av växter, förvaltning av fastigheter och uthyrning av fastighet, handel med värdepapper samt därmed förenlig verksamhet.",1995-02-10,active,,,,
556506-3210,CM Integrated Knowledge Aktiebolag,CM Integrated Knowledge Aktiebolag,47123,,"47123; 47612; 64994; 71123",UPPSALA,75651,HOLMVÄGEN 25 C,"Aktiebolaget skall bedriva teknisk konsultverksamhet, utveckling, tillverkning och försäljning av innovativa produkter och teknologier, utbildning, uthyrning av teknisk apparatur, samt därmed förenlig verksamhet, företrädesvis inom branscherna elektronik och data, samt inom energi-, miljö- och VVS-teknik. Aktiebolaget skall även bedriva innovativ utveckling av akvaponik, inklusive odling, utbildning, tidningsutgivning, samt därmed förenlig verksamhet. Aktiebolaget skall även bedriva postorderhandel och detaljhandel på internet med a) böcker och andra mediavaror företrädesvis elektroniska direkt nedladdningsbara böcker samt, b) varor med brett sortiment företrädesvis heminredningsvaror samt husdjursartiklar till hushåll och privatpersoner, samt därmed förenlig verksamhet. Aktiebolaget skall även bedriva förvaltning av och handel med värdepapper för eget kapital och egen förmögenhet, samt därmed förenlig verksamhet.",1995-06-06,active,,,,
556520-2867,Farmhouse Aktiebolag,Farmhouse Aktiebolag,47551,,47551,SALTSJÖBADEN,13334,MAJORSVÄGEN 5,"Bolaget skall idka import, export och handel med presentartiklar och produkter för inredning tillika produkter och konsult- verksamhet inom medicinsk teknik ävensom idka därmed förenlig verksamhet.",1995-07-17,active,,,,
556511-1431,Kent Björk AB,Kent Björk AB,46210,,"46210; 43991",BORLÄNGE,78194,TRONSJÖ 163,"Föremålet för bolagets verksamhet är jordbruk, tillverkning och försäljning av hästfoder, samt entreprenadverksamhet inom jordbruk och därmed förenlig verksamhet.",1995-04-22,active,,,,
556519-4817,Matthallen i Sandared AB,Matthallen i Sandared AB,47531,,47531,BORÅS,50641,SJÖBOGATAN 4,"Bolaget skall bedriva försäljning, inläggning och övrig service av mattor, övriga golvbeläggningar och golvvårdsprodukter ävensom idka därmed förenlig verksamhet.",1995-07-13,active,,,,
556267-3755,Marinetek Sweden AB,Marinetek Sweden AB,46649,,"46649; 42910",STOCKHOLM,10390,BOX 7315,Bolaget skall producera och marknadsföra marina anläggningar och tillbehör samt bedriva marknadsaktiviteter och mässframträdanden med marin anknytning. Dessutom skall bolaget förvalta värdepapper och fastigheter.,1985-12-13,active,,,,
556471-6669,Euroracing i Skandinavien AB,Euroracing i Skandinavien AB,47811,,"47811; 74990; 93199",HISINGS BACKA,42246,TRANSPORTGATAN 57 B,"Bolaget skall bedriva försäljning, uthyrning och service av motorfordon med tillbehör och reservdelar samt bedriva verksamhet inkluderande anordnande av motortävlingar och promotionarrangemang samt deltagande i motorsportarrangemang och idka därmed förenlig verksamhet.",1993-08-16,active,,,,
