orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556659-1235,KL Racing AB,KL Racing AB,47820,,47820; 68203,FALKÖPING,52139,ÖSTERÄNGSGATAN 1,"Bolaget skall bedriva försäljning av biltillbehör, reparation av fordon, fastighetsförvaltning samt därmed förenlig verksamhet.",2004-04-05,active,,,,
556657-9602,4305626 Västerhaninge C AB,4305626 Västerhaninge C AB,47260,,47260; 47621; 47242,VÄSTERHANINGE,13738,CENTRUM,Bolaget ska driva detaljhandel främst i form av kiosk och servicebutik ävensom idka därmed förenlig verksamhet.,2004-03-18,active,,,,
556433-0297,Rolf Roos Bilar Aktiebolag,Rolf Roos Bilar Aktiebolag,47811,,47811,VÄNNÄS,91133,ÄLVDALAGATAN 13,"Bolaget skall bedriva handel med bagagnade bilar, samt ävensom idka därmed förenlig verksamhet.",1991-09-20,active,,,,
556628-2058,Elin & Sofia AB,Elin & Sofia AB,47772,,47772; 47712,BORÅS,50451,HUMLEGATAN 13 B,"Aktiebolaget ska bedriva handel med kläder, smycken, accessoarer samt design- och konsultverksamhet inom mode samt därmed förenlig verksamhet.",2002-06-10,active,,,,
556632-4454,M Jildin Konsult AB,M Jildin Konsult AB,46420,,46420; 96230,GÖTEBORG,41269,OLOF SKÖTKONUNGSGATAN 60,"Bolaget skall bedriva motionsverksamhet, mental träning och ledarskap, självförsvar och försäljning av därtill hörande produkter samt därmed förenlig verksamhet. Därutöver även bedriva konsultation inom de ovan nämnda områdena.",2002-09-10,active,,,,
556634-9055,Hå Ja AB,Hå Ja AB,46649,,46649,ENHÖRNA,15128,BOX 52,"Bolaget skall bedriva inköp och försäljning av automationsutrustning till verkstadsindustrin och bedriva agenturverksamhet i anlutning därtill, byggnadsentreprenader, inköp och försäljning av skogsbestånd, äga och förvalta fast egendom samt bedriva värdepappershandel, dock inte sådan verksamhet som avses i bankrörelselagen eller lagen om finansieringsverksamhet, ävensom idka därmed förenlig verksamhet.",2002-11-07,active,,,,
556638-9630,Dittcloud Aktiebolag,Dittcloud Aktiebolag,47401,,47401,MÖLNDAL,43133,MÖBELGATAN 4,"Bolaget skall bedriva managementkonsulting, försäljning av IT- relaterade produkter och tjänster. Handel med medicintekniska produkter och tillbehör samt övriga sjukvårdsartiklar. Äga och förvalta värdepapper ävensom idka därmed förenlig verksamhet.",2003-02-07,active,,,,
556359-6930,"A och O, Aagesen & Olander Aktiebolag","A och O, Aagesen & Olander Aktiebolag",46499,,46499,STOCKHOLM,11121,DROTTNINGGATAN 57,"Bolaget skall bedriva handelsrörelse med skämtsaker, fest- och maskeradartiklar samt därmed förenlig verksamhet.",1989-05-25,active,,,,
556366-7681,A. Wallqvist Byggmaterial Aktiebolag,A. Wallqvist Byggmaterial Aktiebolag,46831,,46831,STORVIK,81290,NÄSBYVÄGEN 60,"Bolaget skall bedriva byggnadsrörelse samt handel med trävaror, uthyrning av maskiner och personal, äga och förvalta fastigheter och värdepapper samt därmed förenlig verksamhet.",1989-07-12,active,,,,
556644-0912,Gardrob i Herrljunga AB,Gardrob i Herrljunga AB,47711,,47711,HERRLJUNGA,52491,ÖLLTORP 1,"Bolaget skall bedriva handel med konfektion, presentartiklar, bijouterier. Driva lantbruk, café och gårdsbutik. Uthyrning av festlokal. Kräftodling. Försäljning av pooler. Äga och förvalta fast egendom och värdepapper och därmed förenlig verksamhet.",2003-05-30,active,,,,
